photosystem II,TraesCS5A02G322500
photosystem II,TraesCS5A02G350600
photosystem II,TraesCS5A02G454200
photosystem II,TraesCS5A02G454300
photosystem II,TraesCS5B02G322900
photosystem II,TraesCS5B02G353200
photosystem II,TraesCS5B02G462800
photosystem II,TraesCS5B02G462900
photosystem II,TraesCS5B02G463000
photosystem II,TraesCS5B02G463100
photosystem II,TraesCS5D02G329200
photosystem II,TraesCS5D02G357600
photosystem II,TraesCS5D02G464700
photosystem II,TraesCS5D02G464800
photosystem II,TraesCS5D02G464900
photosystem II,TraesCS6A02G093700
photosystem II,TraesCS6A02G094100
photosystem II,TraesCS6A02G094200
photosystem II,TraesCS6A02G094300
photosystem II,TraesCS6A02G094400
photosystem II,TraesCS6A02G094500
photosystem II,TraesCS6A02G094600
photosystem II,TraesCS6B02G122500
photosystem II,TraesCS6B02G122600
photosystem II,TraesCS6B02G122800
photosystem II,TraesCS6D02G088600
photosystem II,TraesCS6D02G088800
photosystem II,TraesCS7A02G237100
photosystem II,TraesCS7A02G238400
photosystem II,TraesCS7A02G276400
photosystem II,TraesCS7B02G103300
photosystem II,TraesCS7B02G103400
photosystem II,TraesCS7D02G199400
photosystem II,TraesCS7D02G199500
photosystem II,TraesCS7D02G276300
photosystem II,TraesCS5A02G177700
photosystem II,TraesCS5B02G175000
photosystem II,TraesCS5D02G182000
photosystem II,TraesCS5D02G008300
photosystem II,TraesCS6D02G079500
photosystem II,TraesCS5A02G523400
photosystem II,TraesCS5D02G220600
photosystem II,TraesCS5D02G564200
photosystem II,TraesCS6A02G020700
photosystem II,TraesCS6A02G020800
photosystem II,TraesCS6B02G232900
photosystem II,TraesCS6B02G233100
photosystem II,TraesCS6D02G325800
photosystem II,TraesCS6D02G374500
photosystem II,TraesCS7A02G098400
photosystem II,TraesCS7A02G099600
photosystem II,TraesCS7A02G388000
photosystem II,TraesCS7B02G120000
photosystem II,TraesCS7B02G456700
photosystem II,TraesCS7B02G458600
photosystem II,TraesCS7B02G487200
photosystem II,TraesCS7D02G286100
photosystem II,TraesCS7D02G301700
photosystem II,TraesCS5A02G523300
photosystem II,TraesCS5D02G220700
photosystem II,TraesCS6D02G137500
photosystem II,TraesCS6D02G325700
photosystem II,TraesCS5A02G420700
photosystem II,TraesCS5B02G089100
photosystem II,TraesCS5D02G008000
photosystem II,TraesCS5D02G107100
photosystem II,TraesCS5D02G120000
photosystem II,TraesCS5D02G458200
photosystem II,TraesCS5D02G471500
photosystem II,TraesCS6D02G079600
photosystem II,TraesCS7A02G270400
photosystem II,TraesCS7B02G091600
photosystem II,TraesCS7D02G123900
photosystem II,TraesCS5D02G009200
photosystem II,TraesCS5D02G559700
photosystem II,TraesCS6B02G126500
photosystem II,TraesCS7A02G095600
photosystem II,TraesCS7A02G289800
photosystem II,TraesCS7D02G271300
photosystem II,TraesCS5A02G076200
photosystem II,TraesCS5A02G437000
photosystem II,TraesCS5A02G523100
photosystem II,TraesCS5B02G043500
